H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.039	0.04	0.032	0.046	0.026	0.124	0.02	0	0.011	0	0.079	0	0.436	0.057	0.055
0.039	0.039	0.044	0.04	0.015	0.031	0.026	0.003	0.008	0	0.513	0	0.286	0	0.055
0.039	0.044	0.036	0.022	0.015	0.065	0.006	0	0.011	0	0.074	0	0.412	0	0.058
0.039	0.039	0.034	0.039	0.004	0.045	0.037	0	0.011	0	0.145	0	0.39	0.063	0
0	0	0.036	0.022	0.018	0.044	0.005	0	0.004	0	0.245	0	0.32	0	0
0.039	0.039	0.056	0.062	0.011	0.047	0.034	0	0.009	0	1.48	0	0.368	0.051	0
0.049	0.054	0.039	0.039	0.015	0.063	0.011	0	0.008	0	0.896	0	0.466	0.051	0
0.039	0.041	0.046	0.045	0.07	0.06	0.006	0.002	0.014	0	0.561	0	0.456	0.054	0.07
0.039	0.039	0.032	0.071	0.026	0.038	0.005	0.002	0.014	0	0.153	0	0.398	0.051	0.055
0	0.042	0.045	0.041	0.004	0.036	0.025	0.003	0.011	0	0.132	0	0.352	0.051	0
0.039	0.039	0.036	0.022	0.007	0.033	0.018	0.003	0.005	0	0.747	0	0.294	0.051	0.057
0.043	0.039	0.032	0.022	0.018	0.039	0.019	0.003	0.009	0	0.24	0	0.378	0	0
0.039	0.045	0.037	0.022	0.011	0.025	0.005	0.003	0.005	0	0.214	0	0.246	0.051	0
0.039	0.039	0.032	0.028	0.004	0.031	0.013	0	0.009	0	1.04	0	0.346	0	0.055
0.043	0.039	0.066	0	0.007	0.019	0.04	0.003	0.008	0	0.236	0	0.296	0.051	0
0.039	0.047	0.04	0.022	0.011	0.022	0.019	0.002	0.009	0	0.159	0	0.342	0.081	0.061
0.039	0.039	0.037	0.047	0.03	0.04	0.03	0	0.017	0	0.536	0	0.402	0.057	0.055
0.046	0.039	0.032	0.022	0.004	0.044	0.017	0	0.014	0	0.113	0	0.462	0.051	0.055
0.039	0	0.032	0.022	0.007	0.055	0.005	0.004	0.007	0	0.107	0	0.328	0	0
0.039	0.039	0.034	0.049	0.026	0.034	0.005	0	0.012	0	0.379	0	0.432	0	0.065
0.039	0.042	0.042	0.051	0.018	0	0.015	0.004	0.011	0	0.328	0	0.28	0.051	0.095
0.048	0	0.032	0.022	0.007	0.027	0.007	0.02	0.007	0.056	0.159	0	0.302	0	0.13
0.039	0	0.032	0.039	0.004	0.018	0.017	0	0.003	0.056	0.968	0	0.298	0	0.055
0.039	0.039	0.039	0.035	0.047	0.037	0.02	0	0.007	0	0.196	0	0.324	0.051	0
0.063	0.039	0.037	0.029	0.022	0.033	0.044	0	0.009	0	0.237	0	0.368	0.051	0.065
0.049	0	0.044	0.03	0.004	0.018	0.01	0.003	0.007	0	0.067	0	0.246	0	0.055
0.039	0.044	0.036	0.022	0.004	0.022	0.039	0.064	0.01	0	0.962	0	0.376	0	0.087
0.039	0.041	0.033	0.028	0.011	0.045	0.028	0.002	0.018	0	0.755	0	0.448	0.071	0.062
0.039	0.039	0.036	0.032	0.015	0.059	0.027	0	0.011	0	0.063	0	0.37	0	0.055
0.039	0.039	0.032	0.022	0.007	0.022	0.017	0	0.006	0	0.736	0	0.32	0	0.062
0.043	0.041	0.04	0.056	0.053	0.018	0.014	0	0.004	0	0.141	0	0.346	0.051	0.065
0.039	0.055	0.038	0.022	0.015	0.029	0.02	0.097	0.012	0	0.066	0	0.43	0.051	0.065
0.042	0.043	0.041	0.034	0.026	0.057	0.01	0.098	0.011	0	0.1	0	0.396	0.058	0.083
0.039	0	0.038	0.022	0.015	0.056	0.03	0.003	0.008	0	0.265	0	0.38	0.051	0.055
0.039	0	0.032	0.076	0.05	0.043	0.032	0.003	0.013	0	0.081	0	0.38	0.051	0.07
0.039	0.046	0.04	0.028	0.004	0.022	0.037	0.346	0.008	0.056	1.07	0	0.37	0.051	0.077
0.044	0.039	0	0.022	0.023	0.133	0.019	0	0.017	0	0.086	0	0.4	0.058	0
0.062	0.049	0.034	0.022	0.011	0.048	0.021	0	0.011	0	0.057	0	0.388	0.051	0
0.051	0.039	0.034	0.089	0.026	0.047	0.055	0	0.027	0	0.277	0	0.408	0.051	0.069
0.039	0.039	0.054	0.022	0.018	0.024	0.006	0.002	0.013	0.056	1.25	0	0.446	0.051	0.055
0.039	0	0.032	0.034	0.004	0.026	0.022	0	0.011	0	0.363	0	0.336	0.051	0.061
0.039	0.039	0.038	0.022	0.039	0.022	0.046	0.055	0.012	0	0.031	0	0.35	0.066	0.055
0	0.039	0.046	0.032	0.004	0.024	0.01	0.008	0.007	0	0.31	0	0.312	0	0
0.039	0.039	0.041	0.022	0.007	0.029	0.029	0.002	0.007	0	0.259	0	0.336	0.051	0
0	0.039	0.032	0.036	0.004	0.035	0.006	0	0.009	0	0.117	0	0.322	0.051	0
0.039	0.039	0.032	0.042	0.015	0.018	0.022	0	0.004	0	0.023	0	0.262	0.081	0.07
