H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.051	0.039	0.032	0.022	0.007	0.04	0.007	0	0.015	0	1.33	2	0.552	0.051	0.055
0.039	0.089	0.032	0.029	0.033	0.033	0.021	0.006	0.016	0.056	0.659	0	0.484	0.068	0.055
0.039	0.131	0.039	0.078	0.064	0.026	0.036	0.15	0.016	0.159	0.155	0	0.33	0.051	0.055
0	0.059	0.032	0.047	0.053	0.018	0.043	0.107	0.009	0.056	0.585	0	0.336	0.051	0.07
0.053	0.125	0.05	0.064	0.05	0.029	0.065	0.297	0.015	0.126	0.726	0	0.472	0.053	0.055
0.039	0.062	0.046	0.033	0.007	0.018	0.022	0.501	0.006	0.056	1.21	0	0.318	0	0.056
0.039	0.042	0.032	0.029	0.031	0.03	0.051	0.035	0.01	0	0.86	0	0.416	0.051	0.063
0.041	0.047	0.032	0.038	0.026	0.03	0.065	0.031	0.037	0.056	0.22	0	0.662	0.051	0.057
0	0.042	0	0.022	0.007	0.032	0.027	0.02	0.026	0.056	0.791	0	0.52	0.092	0.07
0.413	0.039	0.032	0.059	0.04	0.045	0.217	0.034	0.543	0.141	0.49	0	0.662	0.105	0.17
0.801	0.039	0.032	0.022	0.214	0.03	0.347	0.012	0.672	0.281	0.582	2	0.684	0.105	0.352
0.533	0	0.032	0.033	0.02	0.03	0.365	0.054	0.869	0.401	0.194	2	0.586	0.098	0.098
0.049	0.103	0.032	0.03	0.017	0.05	0.03	0.068	0.015	0.13	0.417	0	0.54	0.051	0.058
1.27	0.053	0.036	0.022	0.194	0.023	0.716	0.089	0.676	0.322	0.35	0	0.59	0.051	0.108
1.38	0.043	0.032	0.022	0.327	0.024	0.737	0.561	0.773	0.369	0.135	4	0.688	0.078	0.181
0.039	0.166	0.041	0.022	0.057	0.018	0.005	0.609	0.015	0.056	1.15	0	0.48	0.051	0.055
0.894	0.043	0.034	0.022	0.559	0.045	0.796	0.464	1.12	0.566	0.753	1	0.596	0.063	0.143
1.11	0.043	0.037	0.022	0.578	0.051	1.1	0.829	1.08	0.409	0.666	1	0.644	0.066	0.146
0.039	0.057	0.041	0.022	0.046	0.04	0.018	0.009	0.024	0.086	1.75	0	0.43	0.051	0.059
0.048	0.046	0.035	0.053	0.021	0.036	0.039	0.009	0.036	0.067	3.24	0	0.514	0.051	0.061
0.379	0.047	0.06	0.039	0.077	0.023	0.226	0.051	0.629	0.187	8.27	0	0.468	0.051	0.075
0.039	0.057	0.032	0.058	0.035	0.03	0.02	0.379	0.019	0.1	0.811	0	0.394	0	0.055
0.069	0.056	0.032	0.071	0.037	0.018	0.019	0.327	0.012	0.06	0.972	0	0.376	0.051	0.056
0.076	0.09	0.052	0.035	0.01	0.05	0.088	0.477	0.017	0.102	1.27	0	0.442	0.066	0.065
0.039	0.044	0.049	0.047	0.02	0.026	0.05	0.065	0.018	0.056	3.25	0	0.484	0.061	0.067
