H3K9ac	H3K9me3	H3K27me3	H3K4me3	H3K36me3	H3K27ac	H3K4me1	RNA_seq	DNase	GRO_seq
0	0.007	0.038	0.061	0.18	0	0.082	0.053	0.032	0.0366
0	0.027	0.053	0.075	0.071	0	0.082	0.053	0.05	0.0559
0	0.028	0.058	0.139	0.083	0.063	0	1.21	0.051	0.0232
0.503	0	0.048	0.469	0.071	1.36	0.082	0.259	0.087	0.222
0	0.036	0.016	0.084	0.211	0.063	0.082	0.596	0.032	0.0494
0	0.022	0.041	0.044	0.087	0.063	0.082	0.039	0.04	0.0691
0	0.007	0.016	0.058	0.071	0.063	0.122	0.351	0.032	0.13
0	0.022	0.047	0.089	0.107	0.063	0.082	0.635	0.038	0.0611
0	0.007	0.024	0.058	0.071	0.063	0.082	0.842	0.04	0.096
0	0.015	0.049	0.038	0.071	0.097	0.082	0.199	0.044	0.0761
0	0.019	0.032	0.038	0.118	0	0	0.081	0.032	0.0733
0	0.022	0.034	0.049	0.128	0.063	0	0.074	0.032	0.0715
0.4	0.035	0.028	0.07	0.118	0.063	0.118	0.278	0.055	0.0389
0	0.029	0.044	0.047	0.12	0.063	0	0.233	0.053	0.0261
0	0.035	0.035	0.038	0.14	0.063	0.082	0.291	0.036	0.0187
0	0.019	0.034	0.091	0.098	0	0	0.204	0.037	0.0126
0.363	0.02	0.024	0.074	0.117	0.063	0.082	0.175	0.051	0.0132
0.255	0.02	0.045	0.051	0.084	0.063	0	0.359	0.045	0.0317
0	0.007	0.054	0.058	0.071	0.097	0.082	0.059	0.047	0.00732
0.832	0	0.03	0.127	0.11	0.063	0.148	0.385	0.041	0.106
0.252	0.051	0.021	0.466	0	0.554	0.128	0.433	0.347	0.0034
0	0.033	0.044	0.05	0.11	0.063	0.082	0.319	0.035	0.00156
0	0.04	0.016	0.093	0.085	0.138	0.082	0.35	0.038	0.00536
0	0.007	0.051	0.066	0.214	0	0	0.381	0.04	0.0303
0	0.019	0.016	0.052	0.143	0.063	0.082	0.117	0.042	0.0698
0	0.018	0.03	0.045	0.118	0.063	0.082	0.125	0.045	0.407
0	0.007	0.016	0.084	0.132	0.138	0.082	0.087	0.058	0.205
0	0.033	0.038	0.078	0.28	0.243	0.157	1.33	0.066	0.221
0	0.039	0.05	0.047	0.153	0.063	0.082	0.052	0.047	0.00288
0.933	0.012	0.041	0.078	0.071	0.063	0.11	0.147	0.04	0.0661
0	0.017	0	0.044	0.18	0.22	0.118	1.14	0.035	0.096
0.296	0.021	0.032	0.047	0.107	0.143	0.082	0.465	0.032	0.0441
0	0.012	0.021	0	0.208	0.146	0.082	0.144	0.034	0.198
0.224	0.016	0.035	0.047	0.119	0.063	0.192	0.134	0.063	0.0585
0.568	0.031	0.051	0.066	0.071	0.644	0.192	0.052	0.356	0.0675
0.04	0.022	0.029	0.061	0.088	0.063	0.082	0.089	0.032	0.0375
0.282	0.007	0.065	0.073	0.125	0.063	0	2.05	0.042	0.158
0	0.013	0.027	0.079	0.071	0.063	0.154	0.102	0.042	0.106
0	0.007	0.024	0.07	0.071	0.063	0	0.339	0.042	0.0261
0.224	0.025	0.079	0.05	0.206	0.164	0.082	0.246	0.04	0.075
0.371	0.019	0	0.89	0.393	0.935	0	0.084	0.23	0.313
0.04	0.017	0.016	0.047	0.146	0.063	0	0.356	0.036	0.0377
0.256	0.007	0.016	0.296	0.071	0.31	0.082	0.426	0.094	2.5
0.169	0.007	0.032	0.412	0.071	0.572	0.096	0.093	0.248	0.458
0	0.061	0.044	0.078	0.093	0.138	0.082	0.177	0.041	0.104
0	0.018	0.016	0.038	0.071	0.08	0	0.256	0.035	0.0611
0.793	0	0.022	0.423	0.071	0.504	0.082	0.286	0.162	0.0787
0.426	0.007	0	0.048	0.091	0	0.082	0.301	0.034	0.0344
0.17	0.007	0.046	0.263	0.071	0.063	0.111	0.053	0.148	0.0131
0.141	0.047	0.038	0.074	0.084	0.063	0.09	0.008	0.041	0.0317
0.206	0.007	0.044	0	0.17	0.197	0.082	1.25	0.035	0.0547
0	0.018	0.031	0.053	0.315	0.113	0	0.505	0.036	0.118
0.123	0.035	0.021	0.052	0.071	0.063	0.082	0.088	0.042	0.0794
0	0.028	0.043	0.08	0.1	0.1	0.082	1.27	0.047	0.153
0.04	0.026	0.024	0.059	0.281	0.164	0	0.885	0.033	0.115
0.255	0.026	0.027	0.073	0.081	0.139	0.082	2.16	0.044	0.0685
0.369	0.026	0.016	0.048	0.095	0.076	0.082	0.075	0.032	0.369
0.554	0.007	0.056	0.094	0.096	0.29	0.103	0.004	0.169	0.0644
0.136	0.02	0.058	0.104	0.071	0.219	0.119	0.087	0.052	0.023
0.515	0.007	0.022	0.343	0.071	0.276	0.082	0.028	0.228	0.023
0.141	0.064	0.027	0.052	0	0	0.082	0.448	0.033	0.032
0	0.028	0.03	0.038	0.095	0.063	0	0.185	0.038	0.0325
0.188	0.025	0.058	0.043	0.187	0.063	0	1.88	0.035	0.0201
0.204	0.027	0.038	0.052	0.079	0.08	0.112	0.243	0.039	0.0571
0.174	0.032	0.016	0.06	0.115	0.176	0.082	1.16	0.048	0.0537
1.05	0.007	0.043	0.098	0.089	0.063	0.146	0.272	0.055	0.07
0	0.017	0.023	0.088	0.098	0	0	0.104	0.044	0.013
0	0.021	0.036	0.046	0.167	0.063	0.082	0.062	0.036	0.0831
0	0.021	0.05	0.038	0.071	0	0.151	0.031	0.032	0.142
0	0.045	0.074	0.066	0.071	0.063	0.139	0.117	0.041	0.0542
0	0.02	0.039	0.066	0.071	0.063	0.098	0.105	0.034	0.041
0	0.032	0.05	0.038	0.088	0.138	0.082	0.093	0.034	0.0387
0.189	0.015	0.038	0.397	0.071	0.225	0.082	0.353	0.134	0.0265
0	0.021	0.037	0.082	0.112	0.063	0.082	0.067	0.032	0.15
0	0.007	0.035	0.038	0.111	0	0	0.277	0.032	0.0508
0	0.016	0.016	0.038	0.115	0	0	0.397	0.032	0.0453
0	0.02	0.05	0.061	0.152	0	0.082	0.047	0.032	0.00231
0.174	0.036	0.021	0.183	0.071	0.788	0.082	0.059	0.793	0.0936
0.197	0.036	0.022	0.13	0.215	0.411	0.173	0.221	0.173	0.207
0.513	0	0.022	0.192	0.071	0.655	0.122	0.069	0.382	0.353
0.335	0	0.016	0.699	0.071	0.51	0.082	0.252	0.614	0.0166
0.297	0.019	0.058	0.038	0.122	0.063	0	0.101	0.042	0.039
0.188	0.016	0.016	0.041	0.071	0	0.118	0.036	0.04	0.0268
0.182	0.036	0.016	0.066	0.223	0.063	0	1.97	0.032	0.0884
0	0.017	0.03	0.038	0.108	0.063	0.15	0.261	0.069	0.344
0.278	0.012	0.025	0.043	0.103	0.088	0.1	0.493	0.061	0.278
0	0.035	0.02	0.058	0.112	0.702	0.174	0.364	0.226	0.125
0	0.032	0.029	0.061	0.308	0.121	0.112	0.621	0.051	0.106
0.426	0	0.041	0.054	0.122	0.322	0.162	0.604	0.366	0.153
0.04	0.007	0.016	0.05	0.144	0.176	0.155	0.623	0.121	0.154
0	0.012	0.037	0.085	0.093	0.063	0.082	1.21	0.04	0.0327
0.42	0.014	0.026	0.417	0.071	0.383	0.098	0.083	0.656	0.0565
0.248	0.007	0.045	0.092	0.071	0	0.082	0.215	0.044	0.071
0.264	0.032	0.02	0.373	0.071	0.485	0.088	0.754	0.144	0.101
0.906	0.022	0.058	0.772	0.071	2.05	0	0.174	0.206	0.335
0.053	0.037	0.02	0.102	0.084	0.063	0.082	0.201	0.032	0.00955
0.31	0.019	0.044	0.044	0.081	0	0.082	0.004	0.04	0.0239
0	0.034	0.027	0.038	0.071	0.063	0.106	0.208	0.034	0.016
0.508	0.007	0.032	0.07	0.132	0.705	0.142	1.61	0.45	0.0537
0	0.018	0.033	0	0	0.063	0.082	1.69	0.042	0.0606
0	0.027	0.016	0.061	0.124	0.208	0.096	2.37	0.04	0.0303
0.04	0.026	0.016	0.038	0.125	0.063	0.092	0.248	0.036	0.026
0	0.017	0.046	0.064	0.164	0.063	0.082	0.634	0.032	0.135
0	0.03	0.016	0.054	0	0.093	0.152	0.592	0.038	0.0567
0.088	0.165	0.078	0.047	0.087	0.063	0.094	0.089	0	0
0.255	0.02	0.051	0.044	0.077	0	0.082	1.56	0.035	0.0887
0	0.042	0.06	0.074	0.071	0.063	0.082	0.142	0.033	0.124
0.197	0.007	0.025	0.112	0.104	0.169	0.1	5.22	0.057	0.0552
0.289	0.007	0.029	0.248	0.071	0.145	0.108	0.385	0.05	0.0743
0.075	0.007	0.036	0.17	0.15	0.087	0.09	0.078	0.099	0.118
