H3K9ac	H3K9me3	H3K27me3	H3K4me3	H3K36me3	H3K27ac	H3K4me1	RNA_seq	DNase	GRO_seq
0.04	0.048	0.063	0.056	0	0.063	0	0.028	0.036	0
0	0.028	0.064	0.056	0	0.063	0.082	0.028	0.034	0
0	0.019	0.057	0.09	0.071	0.063	0.082	0.028	0.042	0
0.111	0.014	0.061	0.094	0	0.063	0.14	0.004	0.05	0
0	0.064	0.062	0.059	0	0.083	0.082	0.067	0.043	0.121
0	0.028	0.058	0.047	0.071	0	0.082	0.028	0.032	0
0.606	0.013	0.033	0.073	0.071	0.078	0.157	0.02	0.119	0.00265
0.352	0.03	0.032	0.08	0.173	0.114	0.082	0.15	0.045	0.0214
0	0.015	0.044	0	0.071	0	0.126	0.004	0.045	0.00536
0	0.028	0.039	0.046	0.071	0	0.082	0.004	0.033	0
0	0.015	0.056	0.08	0.071	0.063	0	0.004	0.032	0
0	0.02	0.043	0.065	0	0.063	0	0.004	0.034	0
0	0.021	0.026	0.044	0	0.063	0	0.004	0.032	0
0	0.018	0.039	0.052	0.071	0.063	0	0.004	0.032	0
0	0.028	0.041	0.08	0.105	0.063	0.106	0.004	0.032	0
0	0.021	0.048	0.061	0.123	0.063	0.082	0.004	0.032	0
0	0.027	0.016	0.085	0.071	0.063	0.082	0.004	0.038	0.0027
0	0.037	0.026	0.072	0.071	0.063	0.094	0.042	0.038	0.00685
0	0.03	0.033	0.08	0	0	0	0.004	0.032	0
0	0.007	0.016	0.047	0	0	0	0.004	0.032	0
0	0.015	0.044	0.059	0	0.063	0.082	0.004	0.052	0
0	0	0.026	0	0.071	0	0	0.004	0.037	0
0.264	0.007	0.039	0.112	0	0.063	0.082	0.004	0.032	0
0	0.023	0.025	0	0.071	0	0	0.004	0	0
0.282	0.019	0.058	0.073	0.093	0.113	0.082	0.271	0.033	0.0654
0.04	0.045	0.046	0.061	0.112	0.206	0.082	0.004	0.033	0.0163
0	0.031	0.053	0.057	0.071	0.212	0	0.004	0.036	0.0015
0.218	0.007	0.034	0.052	0.071	0.063	0.082	0.021	0.061	0
0	0.03	0.047	0.044	0	0.063	0	0.013	0.032	0
0	0.038	0.043	0	0	0	0.082	0.004	0.042	0
0.255	0.032	0.016	0.038	0.071	0.063	0.082	0.004	0.032	0
0	0.02	0.067	0.047	0	0	0.082	0.004	0	0
0	0.029	0.035	0.038	0.071	0	0	0.004	0.032	0
0	0.046	0.025	0.038	0	0	0	0.004	0.081	0
0	0.028	0.034	0.056	0.071	0	0	0.004	0.032	0
0.04	0.026	0.025	0	0.234	0.063	0	0.004	0.032	0.0048
0	0.007	0.051	0.063	0.071	0.063	0.082	0.004	0.054	0.00112
0	0.025	0.051	0.07	0	0.063	0	0.004	0.032	0.0015
0.04	0.033	0.047	0.043	0.071	0	0.082	0.004	0.035	0
0	0.028	0.037	0.052	0.112	0.063	0	0.042	0.032	0.00112
0.164	0.013	0.016	0	0.127	0	0.098	0.315	0.038	0.0402
0	0.065	0.02	0.072	0.071	0	0.094	0.073	0.038	0.0239
0	0.035	0.022	0.05	0.071	0.063	0.082	0.072	0.032	0
0	0.024	0.053	0.047	0.071	0	0.082	0.004	0.032	0.0015
0	0.04	0.034	0.133	0.071	0	0	0.028	0.046	0.00312
0	0.042	0.03	0.049	0.071	0	0.082	0.004	0.032	0.00112
0	0.007	0.049	0.116	0	0.106	0.124	0.039	0.276	0.0215
0	0.007	0.042	0.054	0	0.063	0.082	0.004	0.038	0
0	0.018	0.042	0.038	0.071	0	0.122	0.012	0.032	0
0	0.049	0.041	0.092	0.071	0	0.13	0.004	0.043	0
0.321	0.025	0.087	0.059	0.081	0.063	0.082	0.015	0.035	0
0.226	0.007	0.045	0.05	0.091	0.078	0.126	0.131	0.079	0.00483
0	0.007	0.039	0.101	0.071	0	0.09	0.072	0.035	0.0015
0	0.007	0.056	0.058	0	0.063	0.082	0.033	0.04	0.003
0.141	0.056	0.056	0	0.071	0.063	0.082	0.028	0.032	0.016
0.206	0.007	0.055	0.038	0.071	0.097	0.094	0.028	0.04	0.0045
0	0.031	0.051	0.038	0	0.063	0.082	0.028	0.051	0
0.319	0.064	0.027	0.434	0.071	0.726	0.097	0.084	0.173	0.0441
0.279	0.033	0.035	0.22	0.091	0.129	0.148	0.138	0.054	0.033
0	0.035	0.039	0.038	0.097	0.063	0.098	0.086	0.032	0
0	0.027	0.044	0.076	0.071	0.113	0.165	0.094	0.342	0.0343
0.188	0.036	0.042	0.079	0.071	0.063	0.098	0.008	0.033	0
0.226	0.026	0.058	0.077	0.071	0.063	0.138	0.06	0.068	0.0015
0.443	0.007	0.035	0.618	0	0.725	0	0.407	0.621	0.127
0	0.022	0.035	0.038	0.122	0.264	0	0.336	0.045	0
0	0.014	0.048	0.104	0	0	0.082	0.067	0.036	0
0.322	0.016	0.062	0.064	0.071	0	0.082	0.028	0.032	0
0	0.01	0.016	0.038	0.071	0	0.082	0.004	0.032	0
0	0.022	0.03	0.08	0.088	0.063	0	0.004	0.038	0
0	0.022	0.049	0.071	0.071	0	0	0.004	0.032	0
0	0.007	0.057	0.059	0.071	0	0.082	0.004	0.032	0
0	0.025	0.038	0.056	0.071	0.063	0.082	0.004	0.032	0
0	0.013	0.045	0.08	0.071	0	0	0.004	0.038	0
0.066	0.038	0.016	0.038	0.071	0.063	0.094	0.006	0.038	0.00317
0.221	0.019	0.02	0.086	0.071	0.18	0.109	1.22	0.041	0.0389
0	0.032	0.016	0.108	0.071	0.161	0.118	0.185	0.032	0.564
