H3K9ac	H3K9me3	H3K27me3	H3K4me3	H3K36me3	H3K27ac	H3K4me1	RNA_seq	DNase	GRO_seq
0.031	0.071	0.079	0.038	0.086	0.4	0.054	0.241	0.035	0.0827
1.65	0.044	0.048	0.723	0.407	0.664	0.316	0.31	0.176	0.229
0	0.034	0.067	0.038	0.098	0.109	0.07	0.374	0.036	0.0476
0	0.03	0.055	0.038	0	0	0.018	0.032	0.032	0.0327
0	0.03	0.063	0.038	0	0	0	0.009	0	0
0.224	0.045	0.048	0.052	0.101	0	0.045	0.1	0.032	0.114
0.066	0.035	0.048	0.051	0.099	0	0.109	0.431	0.032	0.0774
0.72	0.03	0.048	0.794	0.481	0.603	0.05	0.478	0.149	0.0897
0.022	0.048	0.048	0.052	0.081	0	0.041	0.101	0.032	0.0269
0.022	0.036	0.067	0.038	0.121	0.353	0.078	1.02	0.043	0.0208
0.779	0.03	0.051	0.429	0.142	0.102	0.152	0.013	0.244	0.0232
0.176	0.039	0.048	0.038	0.123	0	0.044	0.933	0.034	0.054
0.022	0.03	0.064	0.059	0.079	0	0.093	0.025	0.109	0.0499
0.037	0.039	0.048	0.052	0.203	0.128	0.088	0.705	0.037	0.196
0.094	0.033	0.055	0.066	0.884	0.525	0.118	0.27	0.076	0.162
0.105	0.032	0.048	0.058	0.193	0	0.018	7.11	0.032	0.0616
0.022	0.032	0.065	0.038	0.138	0	0.018	5.17	0.033	0.072
0.022	0.044	0.085	0.09	0.072	0.123	0.06	5.08	0.034	0.042
0.022	0.042	0.048	0.069	0.073	0.063	0.048	0.107	0.054	0.477
0.433	0.039	0.048	0.326	0.071	0.215	0.069	0.015	0.479	0.199
0.022	0.044	0.048	0.055	0.071	0	0.048	0.391	0.032	0.0316
0	0.05	0.048	0.038	0.108	0.152	0.03	0.065	0.032	0.0232
0.063	0.035	0.048	0.081	0.125	0.105	0.043	0.742	0.041	0.0315
0.356	0.061	0.048	0.107	0.094	0.063	0.084	0.26	0.039	0.0766
0.064	0.03	0.048	0.038	0.123	0	0.076	0.453	0.035	0.0465
