H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.04	0.025	0.033	0.028	0.015	0.028	0.01	0	0.007	0	0.201	0	0.274	0.052	0
0.033	0.02	0.033	0.026	0.035	0.02	0.023	0	0.011	0	0.197	0	0.424	0.06	0.071
0.045	0.019	0.033	0.047	0.036	0.025	0.01	0	0.014	0	0.133	0	0.376	0.077	0.092
0.035	0.026	0.048	0	0.019	0.031	0.036	0	0.011	0	0.076	0	0.428	0.048	0.055
0.031	0.024	0.039	0.032	0.004	0.038	0.019	0	0.011	0	0.11	0	0.368	0.048	0.055
0.038	0.03	0.033	0.03	0.014	0.025	0.023	0.037	0.008	0	0.07	0	0.502	0.051	0.055
0.035	0.026	0.035	0.044	0.004	0.032	0.005	0	0.013	0	0.127	0	0.406	0.058	0.055
0.031	0.015	0.032	0	0.007	0.024	0.01	0	0.007	0	0.154	0	0.428	0.048	0.076
0.036	0.016	0.032	0.028	0.015	0	0.005	0	0.003	0	0.085	0	0.346	0.048	0.055
0	0.037	0.038	0.026	0.015	0.021	0.005	0.044	0.008	0	0.557	0	0.352	0.058	0.067
0.031	0.033	0.038	0.034	0.004	0.028	0.028	0	0.004	0	0.047	0	0.294	0.048	0.063
0	0.034	0.036	0.021	0.004	0.021	0.019	0.07	0.01	0.021	0.242	0	0.326	0	0
0.036	0.03	0.045	0.052	0.02	0	0.028	0	0.009	0	0.337	0	0.434	0.048	0.055
0	0.033	0.037	0	0.004	0.022	0.014	0	0.005	0	0.116	0	0.262	0.048	0
0.035	0.021	0.034	0.09	0.059	0.066	0.023	0	0.015	0	0.344	0	0.486	0.054	0.079
0.033	0.051	0.033	0.04	0.014	0.034	0.01	0	0.011	0	0.073	0	0.384	0.048	0.055
0.044	0.016	0.037	0.028	0.004	0.046	0.005	0	0.007	0	0.624	0	0.424	0.067	0.055
0.034	0.048	0.038	0.034	0.026	0.025	0.019	0	0.01	0	0.161	0	0.408	0.048	0.055
0.038	0.018	0.034	0.04	0.004	0.028	0.014	0	0.018	0.021	0.142	0	0.412	0.048	0.055
0	0.014	0.035	0.021	0.004	0.021	0.023	0	0.007	0	0.044	0	0.324	0.048	0.055
0.033	0.038	0.033	0.025	0.004	0.032	0.014	0	0.006	0	0.147	0	0.308	0.048	0.063
0.036	0.033	0.039	0.04	0.015	0.024	0.037	0	0.006	0	0.072	0	0.378	0.056	0.058
0.038	0.025	0.036	0.032	0.015	0.039	0.005	0	0.007	0	0.094	0	0.372	0.048	0.071
0	0	0.032	0	0.004	0.021	0.005	0.177	0.003	0	0.08	0	0.35	0	0.055
0	0	0.032	0	0.004	0	0.014	0	0	0	0.415	0	0.304	0	0
0	0	0.032	0	0.004	0.028	0.014	0	0.009	0	0.03	0	0.462	0	0.055
0.031	0.026	0.032	0.028	0.01	0.033	0.014	0	0.006	0	0.099	0	0.304	0.048	0.055
