H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.04	0.021	0.033	0.039	0.007	0.036	0.032	0	0.013	0.096	0.341	0	0.584	0.048	0.065
0.043	0.038	0.038	0.021	0.01	0.029	0.042	0.076	0.017	0.086	0.53	0	0.54	0.051	0.055
0.036	0.134	0.047	0.038	0.036	0.018	0.028	4.88	0.01	0.079	1.43	0	0.374	0.048	0.063
0.038	0.092	0.036	0.03	0.014	0.021	0.034	0.172	0.012	0.053	1.46	0	0.43	0.048	0.078
1.12	0.018	0.032	0.054	0.545	0.021	0.962	0.39	0.13	0.78	0.328	2	0.67	0.067	0.073
0.892	0.011	0.032	0.04	0.696	0.024	0.852	0.061	0.194	0.166	0.34	0	0.666	0.048	0.079
0.035	0.033	0.032	0.028	0.004	0.018	0.018	0.47	0.009	0.031	4.23	0	0.428	0	0.055
0.456	0.016	0.044	0	0.257	0.036	0.56	1.35	0.126	0.087	0.633	3	0.758	0.048	0.118
0.053	0.022	0.043	0.077	0.03	0.018	0.038	1.84	0.013	0.08	2.05	0	0.426	0.048	0.06
0.049	0.071	0.034	0.052	0.017	0.018	0.022	2.45	0.011	0.03	0.459	0	0.38	0.054	0.055
0.033	0.032	0.034	0.028	0.01	0.029	0.034	0	0.013	0	0.119	0	0.55	0.057	0.055
1.31	0.067	0.032	0.06	0.359	0.056	0.618	0.595	0.068	0.056	0.97	0	0.456	0.071	0.073
0.036	0.028	0.038	0.039	0.038	0.036	0.014	0.07	0.023	0.024	0.645	0	0.412	0.054	0.059
0.031	0.032	0.032	0.046	0.043	0.026	0.043	0.456	0.024	0.038	1.11	0	0.46	0.048	0.127
0.031	0.014	0.035	0	0.017	0.029	0.022	0	0.01	0.021	0.22	0	0.662	0.048	0.059
1.06	0.014	0.032	0.04	0.669	0.028	0.968	0.059	0.316	0.814	0.35	0	0.59	0.05	0.097
0.043	0.048	0.041	0.021	0.041	0.028	0.036	0.775	0.01	0.11	3.36	1	0.514	0.048	0
0.038	0.024	0.036	0.042	0.025	0.029	0.03	0	0.016	0.022	1.04	0	0.54	0.053	0.055
0.18	0.011	0.032	0.071	0.103	0.028	0.131	0	0.353	0.095	0.466	3	0.692	0.048	0.055
0.051	0.023	0.032	0.038	0.007	0.032	0.048	0.07	0.029	0.024	0.593	0	0.674	0.445	0.174
0.032	0.052	0.04	0.025	0.047	0.038	0.044	0.061	0.016	0.051	0.366	0	0.558	0.065	0.055
1.2	0	0.052	0.051	0.49	0.033	0.724	0.215	0.191	0.087	0.135	4	0.688	0.062	0.081
0.949	0	0.032	0	0.576	0.028	1.04	0.421	0.26	0.359	0.666	1	0.644	0.051	0.11
0.137	0	0.032	0.061	0.298	0.038	0.219	0.42	0.234	0.397	8.27	0	0.468	0.067	0.059
0.114	0.037	0.032	0.097	0.181	0.025	0.136	0.178	0.497	0.487	9.23	0	0.556	0.058	0.078
0.047	0.011	0.032	0.041	0.048	0.039	0.058	0.309	0.056	0.023	1.8	0	0.446	0.16	0.405
0.036	0.042	0.032	0	0.025	0.028	0.01	0.932	0.017	0.057	1.08	0	0.468	0.048	0.055
0.141	0.024	0.033	0.091	0.069	0.027	0.115	0.2	0.02	0.261	1.2	0	0.492	0.048	0.055
0.076	0.096	0.034	0.079	0.004	0.028	0.014	0.765	0.01	0.033	1.8	0	0.456	0.048	0.055
0.049	0.047	0.036	0.072	0.032	0.021	0.032	1.69	0.012	0.181	2.29	0	0.428	0.048	0.077
0.034	0.034	0.032	0.028	0.014	0.018	0.014	0.355	0.009	0.024	2.76	0	0.462	0.048	0.055
0.036	0.082	0.044	0.039	0.024	0.03	0.045	0.319	0.008	0.039	0.653	0	0.508	0.052	0.055
0.034	0.04	0.032	0	0.025	0.018	0.022	1.93	0.005	0.038	1.84	0	0.478	0	0
0.436	0.011	0.036	0.058	0.103	0.028	0.209	0	0.018	0.028	1.72	4	0.614	0.048	0.058
0.044	0.024	0.034	0.065	0.016	0.024	0.04	0	0.096	0.045	0.723	0	0.574	0.671	0.143
0.031	0.014	0.037	0	0.045	0.022	0.049	0.07	0.012	0.021	0.247	0	0.594	0.067	0.055
0.04	0.016	0.036	0.026	0.02	0.02	0.022	0	0.01	0.021	0.253	0	0.602	0.048	0.06
0.034	0.014	0.033	0.052	0.034	0.033	0.026	0	0.02	0	0.202	0	0.636	0.048	0.059
0.031	0	0.034	0.021	0.032	0.025	0.04	0	0.018	0.021	0.194	1	0.62	0.048	0.055
0.334	0.016	0.032	0.066	0.986	0.018	0.596	0.092	0.787	0.55	0.252	2	0.634	0.048	0.218
0.098	0.018	0.032	0.19	0.764	0.025	0.214	0.091	0.656	0.166	0.76	0	0.474	0.411	0.502
0.035	0.072	0.047	0.052	0.014	0.023	0.018	2.07	0.008	0.16	2.54	0	0.542	0.048	0.067
0.038	0.059	0.033	0.045	0.018	0	0.04	1.57	0.011	0.03	1.67	0	0.526	0.048	0.055
0.034	0.046	0.046	0	0.014	0.023	0.022	0.418	0.011	0.098	1.14	0	0.414	0.048	0.055
0.042	0.031	0.032	0.021	0.023	0.028	0.044	0	0.016	0.075	1.27	0	0.504	0.048	0.055
0.034	0.035	0.032	0.057	0.028	0.031	0.034	0.147	0.011	0.021	2.3	0	0.412	0.048	0.055
0.034	0.039	0.032	0.048	0.027	0.029	0.02	0.11	0.013	0.021	0.429	0	0.324	0.048	0.055
0.048	0.032	0.034	0.044	0.03	0.021	0.01	0.053	0.006	0.129	0.612	0	0.484	0.048	0
0.786	0.03	0.044	0.115	0.604	0.028	0.44	0.133	0.032	0.069	0.269	0	0.448	0.053	0.069
0.039	0.021	0.032	0	0.004	0.028	0.01	0.037	0.007	0.087	1.66	0	0.458	0.065	0.114
0.036	0.038	0.033	0.025	0.014	0.025	0.014	0.251	0.009	0.028	0.201	0	0.604	0.048	0.055
0.038	0.117	0.051	0.035	0.022	0.029	0.042	1.25	0.01	0.082	0.43	0	0.53	0.048	0.055
0.036	0.037	0.037	0.021	0.004	0.021	0.01	0.084	0.006	0.022	2.41	0	0.522	0.048	0.055
0.034	0.066	0.037	0.025	0.023	0.02	0.01	0.11	0.008	0.026	1.62	0	0.492	0.048	0.055
0.95	0.016	0.032	0.032	1.34	0.023	1.28	1.05	0.316	0.246	0.384	7	0.634	0.204	0.104
0.034	0.045	0.041	0.046	0.02	0.02	0.01	0.271	0.009	0.036	0.961	0	0.458	0.048	0.055
0.035	0.011	0.032	0.032	0.004	0.031	0.014	0	0.008	0	7.49	0	0.452	0.048	0.055
0.04	0.026	0.032	0.026	0.014	0.032	0.046	0	0.04	0.029	0.51	0	0.6	0.582	0.358
0.052	0.054	0.032	0.065	0.043	0.026	0.021	1.12	0.015	0.05	0.918	0	0.416	0.07	0.055
0.042	0.039	0.036	0.034	0.023	0	0.036	0.292	0.009	0.204	1.65	0	0.486	0	0.055
0.046	0.042	0.032	0.051	0.018	0.036	0.056	0.232	0.016	0.048	0.334	0	0.448	0.079	0.055
0	0.043	0.032	0	0.004	0.024	0.005	0.313	0.008	0.042	1.77	0	0.496	0.048	0
0.061	0.047	0.033	0	0.015	0.038	0.01	0	0.012	0.051	0.655	2	0.572	0.061	0.061
0.034	0.124	0.047	0.021	0.034	0.026	0.032	0.882	0.012	0.047	0.282	0	0.466	0.048	0.055
0	0.036	0.036	0.028	0.004	0.021	0.012	0.248	0.006	0.021	2.05	0	0.498	0.048	0.055
0.031	0.113	0	0.028	0.03	0.024	0.024	1.79	0.007	0.022	0.785	0	0.416	0	0
0.042	0.013	0.033	0.026	0.004	0.031	0.022	0	0.007	0.054	2.38	0	0.456	0.048	0.055
0.055	0.011	0.032	0.032	0.017	0.035	0.031	0	0.026	0.064	1.3	0	0.556	0.067	0.055
0.039	0.022	0.035	0.032	0.007	0.034	0.037	0	0.014	0	0.748	0	0.58	0.048	0.055
0.034	0.067	0.033	0.028	0.033	0.018	0.005	0.087	0.017	0.043	4.02	0	0.508	0.048	0.055
0.031	0.011	0.033	0.021	0.004	0.018	0.005	0.258	0.01	0.021	0.961	0	0.376	0	0
0.031	0.028	0.047	0.028	0.004	0.023	0.018	0.393	0.005	0.068	1.13	0	0.484	0.048	0.055
0.034	0.025	0.032	0.048	0.027	0.024	0.028	0	0.02	0.138	1.2	0	0.478	0.07	0.094
0.054	0.019	0.034	0.034	0.024	0.036	0.041	0.044	0.014	0.07	0.835	0	0.51	0.048	0.055
0.033	0.025	0	0.03	0.03	0.036	0.022	0	0.013	0.096	0.704	0	0.516	0.052	0.055
0.045	0.014	0.033	0.031	0.024	0.042	0.022	0	0.031	0	0.582	2	0.468	0.056	0.068
0.057	0.029	0.039	0.036	0.02	0.043	0.026	0	0.02	0.021	0.13	1	0.59	0.051	0.071
0.268	0	0.039	0.062	0.05	0.024	0.123	0	0.044	0	0.147	1	0.66	0.053	0.091
0.175	0	0.036	0	0.037	0.043	0.105	0	0.019	0	0.205	6	0.758	0.048	0.07
0.63	0	0.041	0.021	0.334	0.02	0.525	0.078	0.101	0.281	0.747	6	0.778	0.07	0.081
0.683	0.046	0.034	0.103	0.317	0.022	0.478	0.67	0.245	0.592	0.357	0	0.604	0.118	0.139
0.042	0.038	0.033	0.032	0.014	0.021	0.02	0.647	0.018	0.04	1.24	4	0.606	0.048	0.055
0.065	0.016	0.036	0.117	0.119	0.039	0.045	0.807	0.033	0.041	1.45	0	0.556	0.048	0.055
0.031	0.045	0.032	0.038	0.032	0.027	0.036	0.807	0.009	0.041	0.347	0	0.568	0.059	0.055
0	0.049	0.034	0	0.017	0.028	0.026	0.341	0.025	0.038	1.05	0	0.59	0.048	0.058
0.034	0.024	0.032	0.024	0.004	0.018	0.005	0.064	0.007	0.042	0.687	0	0.396	0.048	0.055
0.034	0.063	0.034	0.032	0.004	0.02	0.005	0.044	0.007	0.021	0.832	0	0.396	0.056	0.055
0.033	0.025	0.032	0.034	0.035	0	0.04	0.07	0.022	0.054	0.316	0	0.554	0.076	0.055
0.038	0.056	0.048	0.227	0.174	0.044	0.056	0.317	0.018	0.055	0.525	0	0.502	0.048	0.067
0	0.02	0.032	0.028	0.014	0.021	0.014	0.105	0.007	0.021	1.05	0	0.406	0.055	0.079
0.034	0.011	0.032	0	0.007	0	0.02	0.07	0.008	0.021	4.75	0	0.458	0.048	0.055
0	0.015	0.032	0.038	0.029	0.033	0.018	0.07	0.009	0.021	0.96	0	0.508	0.076	0.055
0.59	0.014	0.032	0.078	0.554	0.025	0.421	0.061	0.404	0.078	0.37	3	0.64	0.048	0.063
0.058	0.088	0.037	0.024	0.025	0.021	0.043	0.07	0.032	0.194	0.811	0	0.474	0.063	0.085
0.042	0.047	0.041	0.026	0.02	0.026	0.046	0.085	0.011	0.032	0.157	0	0.558	0.051	0.055
0.034	0.033	0.032	0.028	0.014	0.027	0.03	0.097	0.006	0.068	1.35	0	0.422	0.048	0.055
0.042	0.038	0.032	0.038	0.014	0.023	0.014	0	0.008	0.138	3.28	0	0.304	0.054	0.055
0.209	0.014	0.032	0.036	0.088	0.036	0.164	0.037	0.208	0.072	0.461	0	0.692	0.048	0.098
1.12	0.024	0.032	0.054	0.519	0.022	0.727	0.847	0.334	0.369	0.522	0	0.618	0.053	0.152
0.034	0.029	0.032	0	0.004	0.033	0.018	0	0.007	0	2.12	0	0.464	0	0.055
0.055	0.014	0.033	0.037	0.027	0.018	0.029	0	0.041	0.021	1.47	1	0.596	0.545	0.394
0.034	0.062	0.032	0.028	0.042	0.021	0.018	0.727	0.029	0.114	1.44	0	0.44	0.054	0.067
0.139	0	0.032	0	0.177	0	0.288	0	0.1	0.282	0.147	7	0.772	0.209	0.142
0.035	0.022	0.035	0.026	0.032	0.022	0.014	0.087	0.008	0.021	0.122	0	0.55	0.052	0.06
0.047	0.036	0.037	0.021	0.011	0.032	0.026	0.688	0.005	0.066	2.62	0	0.444	0.048	0.055
0.034	0.035	0.038	0.035	0.017	0.037	0.022	0.781	0.011	0.041	0.446	0	0.34	0.048	0.055
0.206	0	0.032	0	0.329	0	0.386	0.119	0.26	0.513	0.422	3	0.752	0.082	0.09
0.037	0.023	0.032	0.087	0.014	0.018	0.014	0.097	0.011	0.058	0.167	0	0.336	0	0
0.031	0.059	0.035	0	0.019	0.028	0.014	1.95	0.006	0.021	0.883	0	0.436	0.048	0.055
1.19	0.011	0.032	0.07	0.798	0.041	1.01	0.531	0.138	0.239	0.373	0	0.538	0.066	0.109
0.922	0	0.043	0.039	0.739	0.03	1.03	0.245	0.105	0.281	0.426	4	0.67	0.066	0.078
0.049	0.105	0.033	0.046	0.007	0.026	0.029	0.322	0.013	0.046	0.481	0	0.452	0.055	0.063
0.286	0	0.047	0.028	0.101	0.018	0.255	0.037	0.125	0.021	0.945	5	0.752	0.055	0.061
