H3K9ac	H3K9me3	H3K27me3	H3K4me3	H3K36me3	H3K27ac	H3K4me1	RNA_seq	DNase	GRO_seq
0	0.034	0.094	0.038	0	0	0.061	0.004	0.035	0
0.022	0.044	0.048	0.038	0.071	0	0.038	0.004	0.035	0
0.022	0	0.063	0.038	0.096	0	0.018	0.945	0.033	0.0749
0	0.03	0.048	0.052	0.075	0.089	0.034	0.009	0.032	0
0.327	0.03	0.048	0.08	0.096	0	0.044	0.009	0.038	0.015
0.236	0.03	0.079	0.038	0.071	0.063	0.018	0.009	0.032	0
0	0	0.051	0.059	0	0.119	0.038	0.06	0.033	0
0.022	0.043	0.048	0.066	0	0	0.068	0.009	0.032	0.0095
0	0.03	0.096	0.12	0	0.181	0.018	0.009	0.032	0
0	0.047	0.048	0.069	0	0	0.018	0	0.032	0
0.022	0.043	0.054	0.038	0.098	0.173	0.08	0.003	0.032	0
0.097	0.041	0.064	0.07	0.515	0.508	0.05	0.004	0.037	0
0.022	0.04	0.055	0.044	0	0.148	0.048	0.002	0.032	0
0	0.03	0.057	0.052	0	0	0.018	0.005	0.032	0
0	0.043	0.048	0.038	0	0.063	0.018	0.015	0.032	0
0.621	0	0	0.421	0.073	0.148	0.134	0.226	0.161	0.0951
0	0.041	0.068	0.038	0	0.108	0.033	0.112	0.032	0
0.087	0.04	0.071	0.092	0.087	0.333	0.018	0.096	0.032	0
0.075	0.037	0.048	0.043	0.106	0.177	0.045	0.153	0.033	0.0148
0.141	0.038	0.048	0.038	0.11	0	0.048	0.061	0.033	0.0158
0.092	0.032	0.057	0.056	0.088	0.088	0.061	0.042	0.032	0
0	0.03	0.056	0.058	0.071	0.119	0.018	0.038	0.032	0.0175
0.051	0.04	0.08	0.038	0.109	0	0.049	0.006	0.034	0
0.022	0.03	0.048	0.038	0.08	0.063	0.092	0.006	0.032	0
0.022	0.046	0.048	0.038	0.083	0.132	0.069	0.006	0.032	0
0.105	0.03	0.079	0.045	0.075	0	0.099	0.004	0.037	0.0115
0.022	0.039	0	0.038	0.089	0.063	0.081	0.605	0.032	0.0466
0.022	0.036	0.048	0.056	0.094	0.098	0.076	0	0.033	0
0.095	0.03	0.058	0.044	0.075	0.254	0.104	0	0.033	0
0.057	0.03	0.048	0.038	0.088	0.063	0.043	0.318	0.035	0.0157
