H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.031	0.156	0.036	0.044	0.052	0.02	0.066	6.43	0.012	0.185	3.23	0	0.488	0.051	0.06
0.031	0.089	0.041	0.044	0.04	0.03	0.05	13.7	0.016	0.173	1.59	0	0.402	0.037	0.083
0.041	0.057	0.042	0.044	0.03	0.026	0.041	0.016	0.014	0.051	0.787	0	0.452	0.036	0
0.053	0.092	0.035	0.082	0.033	0.016	0.058	0.466	0.012	0.058	0.436	0	0.482	0.047	0.094
0.031	0.117	0.044	0.044	0.024	0.019	0.054	0.422	0.012	0.056	1.81	0	0.506	0.033	0.06
0.031	0.064	0.034	0.072	0.042	0.026	0.04	0.611	0.015	0.086	0.701	0	0.418	0.042	0.06
0.044	0.09	0.037	0.072	0.046	0.038	0.032	1.28	0.012	0.19	0.783	0	0.398	0.044	0.06
0.066	0.165	0.041	0.065	0.05	0.02	0.062	1.19	0.011	0.142	0.384	0	0.448	0.047	0.092
1.04	0	0.037	0.215	0.378	0.018	0.612	0.226	0.207	0.181	1.77	7	0.8	0.057	0.06
0.031	0.077	0.054	0.044	0.021	0.014	0.018	0.277	0.008	0.057	5.22	0	0.518	0.041	0.06
0.031	0.055	0.032	0.044	0.022	0.018	0.044	0.359	0.007	0.062	2.41	0	0.522	0.056	0
0.118	0.076	0.043	0.185	0.178	0.036	0.088	0.59	0.091	0.138	0.762	0	0.454	0.116	0.08
0.036	0.109	0.039	0.05	0.034	0.019	0.03	0.658	0.014	0.06	2.56	0	0.472	0.038	0.06
0.031	0.148	0.045	0.044	0.026	0.02	0.061	0.835	0.014	0.064	1.34	0	0.53	0.033	0.06
0.031	0.142	0.032	0.073	0.031	0.026	0.04	0.907	0.017	0.105	2.16	0	0.54	0.033	0.073
0.04	0.046	0.042	0.044	0.008	0.041	0.038	0.016	0.016	0	2.25	20	0.584	0.042	0.06
0.758	0.051	0.039	0.083	0.16	0.026	0.292	2.11	0.038	0.069	1.11	0	0.494	0.064	0.06
0.038	0.174	0.033	0.044	0.047	0.02	0.049	1.69	0.019	0.085	2.11	0	0.526	0.043	0.06
0.034	0.046	0.049	0.044	0.04	0.039	0.03	0.563	0.013	0.106	0.851	0	0.48	0.033	0.085
0.044	0.057	0.036	0.073	0.043	0.023	0.026	1.07	0.013	0.05	0.854	0	0.454	0.066	0.06
0.034	0.079	0.035	0.044	0.044	0.027	0.028	0.605	0.017	0.117	0.558	0	0.37	0.033	0.067
0.039	0.058	0.04	0.115	0.122	0.025	0.079	0.507	0.02	0.074	1.43	0	0.438	0.05	0.06
0.034	0.087	0.035	0.044	0.047	0.026	0.056	1.02	0.015	0.059	0.37	0	0.428	0.043	0.06
0.036	0.1	0.038	0.09	0.036	0.021	0.056	0.898	0.019	0.061	0.269	0	0.494	0.048	0.06
0.056	0.051	0.041	0.081	0.087	0.021	0.03	0.554	0.02	0.125	0.482	0	0.4	0.041	0.06
0.041	0.08	0.032	0.109	0.074	0.03	0.088	2.88	0.014	0.07	1.93	0	0.438	0.054	0.06
0.074	0.046	0.042	0.122	0.183	0.025	0.095	2.88	0.028	0.126	1.22	0	0.404	0.038	0.102
0.038	0.128	0.038	0.044	0.035	0.031	0.029	3.37	0.013	0.097	0.255	0	0.438	0.061	0.06
0.039	0.158	0.037	0.044	0.031	0.033	0.037	3.63	0.016	0.135	0.252	0	0.462	0.061	0
0.033	0.169	0.043	0.044	0.041	0.018	0.076	3.22	0.019	0.109	0.286	0	0.506	0.033	0.077
0.052	0.121	0.055	0.044	0.024	0.029	0.021	3.05	0.016	0.269	0.458	0	0.418	0.033	0.076
0.038	0.053	0.048	0.044	0.025	0.019	0.018	0.063	0.016	0.08	3.14	0	0.416	0.036	0.06
0.034	0.097	0.033	0.054	0.047	0.031	0.021	0.132	0.013	0.149	1.1	0	0.442	0.044	0.06
0.043	0.104	0.034	0.044	0.035	0.028	0.038	0.768	0.017	0.138	0.641	0	0.432	0.05	0.083
