H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0	0.046	0.048	0	0.015	0.018	0.005	0	0.006	0	0.109	0	0.328	0.033	0.06
0.036	0.046	0.036	0.044	0.019	0.016	0.005	0	0.005	0	0.057	0	0.286	0.049	0.06
0.031	0.046	0.033	0.044	0.015	0.029	0.005	0	0.006	0	0.067	0	0.304	0.033	0.094
0.035	0	0.051	0	0.007	0.037	0.005	0	0.006	0	0.661	0	0.332	0.033	0.06
0.033	0	0.032	0.044	0.025	0.037	0.005	0	0.01	0	0.036	0	0.342	0.033	0.07
0.031	0	0.039	0.044	0.014	0.022	0.005	0	0.008	0	0.208	0	0.414	0.033	0.06
0.031	0	0.034	0.044	0.019	0.024	0.01	0	0.007	0	0.287	0	0.282	0	0.06
0.04	0.046	0.038	0.044	0.012	0.014	0.005	0	0.006	0	0.143	0	0.372	0	0.06
0.035	0.046	0.032	0.044	0.008	0.024	0.005	0	0.004	0	0.786	0	0.402	0.043	0.06
0.031	0	0.032	0	0.015	0.026	0.005	0.016	0.006	0	0.794	0	0.336	0.038	0.06
0.043	0.046	0.047	0.044	0.021	0.033	0.011	0	0.007	0	0.066	0	0.406	0.039	0.06
0.038	0.054	0.036	0.044	0.025	0.021	0.014	0	0.004	0	0.183	0	0.36	0	0
0.039	0.046	0.038	0	0.028	0.016	0.005	0	0.006	0	0.053	0	0.38	0.033	0
0.036	0	0.04	0.044	0.02	0.022	0.005	0	0.005	0	0.113	0	0.312	0.033	0.06
0	0.046	0.034	0.044	0.022	0.018	0.005	0	0.005	0	0.375	0	0.308	0.033	0.06
0.031	0	0.032	0	0.031	0.021	0.005	0	0.006	0	0.091	0	0.36	0	0
0.036	0.054	0.032	0.054	0.029	0.028	0.051	0	0.013	0	0.123	0	0.506	0.044	0.103
0.048	0.046	0.044	0	0.007	0.046	0.051	0	0.009	0	0.345	0	0.482	0.033	0.15
0.031	0.046	0.05	0	0.007	0.014	0.023	0	0.005	0	0.047	0	0.412	0.04	0.06
0.031	0.046	0.041	0.044	0.007	0.017	0.014	0	0.009	0	0.069	0	0.448	0.037	0.117
0.038	0.046	0.045	0	0.017	0.044	0.02	0	0.012	0	0.084	0	0.438	0.033	0.06
0.052	0	0.037	0	0.022	0.053	0.014	0.039	0.004	0	0.501	0	0.356	0.033	0.06
0.039	0.046	0.037	0.044	0.026	0.043	0.019	0	0.008	0.05	0.165	0	0.364	0.033	0.06
0.041	0.063	0.032	0.044	0.043	0.019	0.01	0.874	0.006	0.05	0.217	0	0.284	0.042	0.146
0.034	0.052	0.037	0.044	0.011	0.031	0.024	0.016	0.01	0.05	0.109	0	0.466	0.036	0.06
0.033	0	0.036	0.051	0.019	0.015	0.01	0	0.006	0	0.439	0	0.326	0	0
0.031	0	0.04	0.044	0.007	0.022	0.005	0	0.008	0	0.062	0	0.364	0.039	0.118
0.038	0	0.041	0.044	0.014	0.032	0.005	0	0.009	0.05	0.055	0	0.364	0.033	0.06
0.035	0.076	0.034	0.059	0.008	0.016	0.037	1.35	0.005	0.079	1.5	0	0.416	0.038	0.06
0.045	0.057	0.032	0.044	0.05	0.033	0.048	0.03	0.013	0.05	0.274	0	0.392	0.045	0.06
0.041	0.082	0.038	0.056	0.019	0.027	0.005	0.061	0.006	0.056	0.248	0	0.328	0.033	0.129
0.034	0.046	0.04	0	0.018	0.064	0.043	0	0.012	0	0.214	0	0.45	0.033	0.06
0.031	0	0.032	0.044	0.018	0.014	0.005	0	0.006	0	0.044	0	0.234	0.033	0.146
0.041	0	0.038	0.044	0.027	0.017	0.005	0	0.009	0	0.042	0	0.346	0.05	0.06
0.038	0.046	0.039	0	0.02	0.016	0.005	0	0.006	0	0.095	0	0.356	0.033	0.06
0.031	0.046	0.04	0	0.029	0.016	0.005	0.039	0.008	0	0.28	0	0.3	0.033	0.06
0.033	0	0.034	0.044	0.007	0.016	0.005	0	0.009	0	0.09	0	0.274	0.033	0.06
0.033	0.046	0.032	0.044	0.025	0.014	0.005	0	0.009	0	0.083	0	0.3	0.033	0
0.036	0.046	0.051	0	0.02	0.022	0.005	0	0.009	0	0.07	0	0.382	0.033	0.06
0	0	0.035	0	0.008	0.024	0.005	0.016	0.011	0	0.855	0	0.408	0.033	0
0.037	0.052	0.039	0.044	0.02	0.015	0.005	0	0.008	0	0.132	0	0.392	0.044	0
0.031	0.101	0.045	0.044	0.011	0.02	0.005	0	0.008	0	0.247	0	0.312	0.038	0.06
0.031	0	0.033	0	0.012	0.032	0.014	0	0.008	0	0.063	0	0.334	0.033	0.06
0.035	0.046	0.043	0.054	0.017	0.022	0.042	0.348	0.006	0.072	0.484	0	0.366	0.058	0.068
0.04	0.148	0.033	0.059	0.019	0.028	0.005	0	0.007	0	0.06	0	0.356	0.046	0.095
0.032	0.046	0.032	0.044	0.029	0.036	0.028	0	0.012	0	0.112	0	0.352	0.038	0.073
0.04	0.046	0.039	0.044	0.029	0.043	0.005	0	0.007	0	0.261	0	0.372	0.056	0.06
0.031	0.046	0.039	0.044	0.008	0.024	0.023	0	0.008	0	0.047	0	0.388	0.033	0.06
0.031	0.148	0.032	0	0.027	0.022	0.005	0	0.007	0	0.49	0	0.33	0.033	0.06
0.031	0.046	0.033	0	0.018	0.018	0.005	0	0.004	0	0.669	0	0.288	0.033	0.06
0.041	0.046	0.047	0.044	0.026	0.036	0.005	0	0.007	0	0.06	0	0.396	0.033	0
0.031	0.046	0	0.044	0.015	0.02	0.005	0	0.006	0	0.928	0	0.314	0.033	0
0.031	0.046	0.038	0.044	0.011	0.014	0.005	0	0.003	0	0.433	0	0.446	0.033	0
0.034	0	0.035	0	0.027	0.017	0.005	0	0.004	0	1.36	0	0.276	0.046	0.073
0.033	0.046	0.05	0	0.013	0.03	0.005	0	0.01	0	0.062	0	0.332	0.036	0.06
0.033	0.046	0.049	0.044	0.018	0.02	0.005	0	0.008	0	0.249	0	0.334	0.033	0.06
0.038	0.046	0.046	0.044	0.021	0.033	0.014	0	0.007	0	0.142	0	0.38	0.064	0.06
0.031	0.06	0.045	0.044	0.016	0.02	0.005	0	0.011	0	0.076	0	0.372	0.048	0.06
0.031	0	0.048	0	0.037	0.029	0.005	0	0.008	0	0.158	0	0.31	0.068	0.06
0.031	0.07	0.032	0.059	0.037	0.024	0.055	0.724	0.013	0.096	0.307	0	0.474	0.049	0.06
0.039	0.064	0.032	0.067	0.039	0.029	0.01	0	0.008	0.05	0.184	0	0.312	0.077	0.06
0.031	0.066	0.036	0.055	0.041	0.028	0.041	0.802	0.015	0.06	1.2	0	0.426	0.048	0.094
0.031	0.06	0.038	0.044	0.008	0.039	0.019	0	0.016	0	0.118	0	0.444	0.038	0.067
0.04	0	0.033	0.044	0.034	0.065	0.019	0.068	0.012	0	0.214	0	0.414	0.038	0.06
0.042	0.046	0.04	0.044	0.036	0.046	0.005	0.178	0.008	0.05	0.145	0	0.332	0.049	0
0.031	0.083	0.044	0.044	0.034	0.062	0.01	0	0.01	0	0.239	0	0.338	0.036	0.06
0.038	0.073	0.045	0.044	0.024	0.09	0.047	0	0.03	0	0.288	0	0.54	0.033	0.06
0.039	0.05	0.036	0.044	0.03	0.047	0.032	0.054	0.014	0.057	0.578	0	0.478	0.037	0.06
0.031	0.046	0.048	0.044	0.029	0.043	0.005	0.84	0.007	0.053	1.31	0	0.296	0.038	0.104
0.043	0.046	0.034	0	0.036	0.04	0.023	0.049	0.008	0.072	0.079	0	0.318	0.056	0.071
0.035	0.148	0.032	0.044	0.007	0.045	0.019	0	0.01	0.084	1.06	0	0.48	0.033	0.06
0.057	0.046	0.036	0	0.032	0.043	0.005	0	0.007	0	0.572	0	0.31	0.041	0.06
0.031	0.046	0.032	0.044	0.015	0.032	0.01	0.016	0.009	0	1.97	0	0.444	0.039	0.146
0.031	0.046	0.046	0.044	0.03	0.062	0.032	0.023	0.013	0.05	0.223	0	0.422	0.049	0.07
0.033	0.046	0.039	0.044	0.034	0.032	0.01	0	0.007	0	0.094	0	0.378	0.053	0.06
0.031	0.067	0.04	0.044	0.025	0.044	0.019	0.016	0.013	0	0.252	0	0.498	0.033	0
0.044	0.046	0.038	0.044	0.011	0.049	0.01	0	0.005	0	0.073	0	0.316	0.049	0.06
0.04	0.046	0.035	0	0.029	0.03	0.005	0	0.015	0	0.813	0	0.414	0.047	0.06
0	0	0	0	0	0	0.005	0.11	0	0	0.199	0	0.426	0	0
0.043	0.046	0.037	0	0.04	0.034	0.023	0	0.011	0	1.81	0	0.388	0.038	0
0.033	0.046	0.032	0.044	0.021	0.028	0.005	0	0.007	0	0.091	0	0.352	0.033	0
0.036	0	0.044	0.044	0.008	0.023	0.014	0	0.01	0	0.076	0	0.312	0.05	0.06
0.031	0.046	0.032	0.048	0.014	0.03	0.027	0	0.04	0	0.99	0	0.548	0.377	0.231
0.036	0.046	0.038	0	0.038	0.069	0.005	0	0.011	0	0.146	0	0.392	0.047	0.094
0.05	0.046	0.032	0	0.032	0.043	0.01	0	0.015	0	0.535	0	0.346	0.033	0.06
0.048	0.046	0.037	0.109	0.069	0.037	0.042	0.016	0.04	0.087	0.098	0	0.428	0.162	0.103
0.038	0.046	0.038	0.044	0.032	0.034	0.01	0	0.01	0	0.149	0	0.352	0.033	0.077
0.073	0.046	0.042	0.044	0.008	0.015	0.01	0	0.008	0	0.717	0	0.474	0.041	0.06
0.031	0	0.036	0	0.039	0.02	0.005	0	0.006	0	0.238	0	0.272	0.065	0.06
0.031	0.059	0.034	0.044	0.015	0.038	0.041	0.438	0.045	0	0.11	0	0.494	0.236	0.06
0.054	0.063	0.041	0.067	0.031	0.04	0.005	0.039	0.009	0	0.476	0	0.36	0.043	0.06
0.034	0.053	0.037	0.044	0.019	0.054	0.019	0	0.012	0	0.117	0	0.406	0.033	0.073
0.06	0.046	0.04	0.044	0.031	0.031	0.019	0	0.008	0	0.521	0	0.422	0.036	0.106
0.031	0.046	0.034	0	0.018	0.018	0.005	0	0.011	0	0.233	0	0.316	0.033	0.149
0.031	0.046	0.036	0.044	0.038	0.023	0.005	0	0.009	0	0.119	0	0.326	0.033	0.07
0.031	0.064	0.05	0	0.025	0.026	0.005	0	0.01	0	0.485	0	0.368	0.033	0.085
0.038	0.046	0.037	0.044	0.028	0.041	0.01	0.068	0.016	0	0.535	0	0.322	0.033	0.06
0.033	0	0.032	0.044	0.024	0.037	0.019	0	0.011	0	0.1	0	0.392	0.037	0.06
0.045	0.082	0.048	0.044	0.035	0.058	0.028	0	0.018	0	0.124	0	0.418	0.033	0.06
0.052	0.085	0.046	0.044	0.025	0.031	0.046	0	0.06	0	0.182	2	0.564	0.033	0.077
0.04	0.054	0.045	0	0.033	0.056	0.01	0.016	0.013	0	0.173	0	0.412	0.044	0.073
0.031	0.046	0.038	0.075	0.008	0.045	0.045	0	0.01	0	0.105	0	0.632	0.033	0.06
0	0.046	0.032	0.044	0.036	0.022	0.005	0.34	0.01	0	0.095	0	0.246	0.04	0.06
0.043	0	0.032	0.059	0.036	0.022	0.005	0	0.008	0	0.058	0	0.302	0.046	0.06
0.052	0.046	0.039	0.044	0.03	0.029	0.005	0	0.015	0.056	0.215	0	0.362	0.043	0.089
0.033	0.046	0.032	0.044	0.026	0.025	0.01	0	0.007	0	0.434	0	0.34	0.039	0.06
0.031	0.046	0.032	0.044	0.043	0.028	0.005	0	0.006	0.05	0.71	0	0.326	0.053	0
0.037	0.046	0.035	0.044	0.028	0.038	0.015	0	0.014	0.05	0.134	0	0.338	0.036	0.06
0.035	0.046	0.039	0.044	0.03	0.04	0.014	0	0.011	0	0.798	0	0.294	0.042	0.06
0.054	0.101	0.032	0.063	0.057	0.029	0.019	0.332	0.015	0.054	0.181	0	0.324	0.055	0.06
0.061	0	0.033	0.058	0.04	0.042	0.014	0	0.012	0	0.145	0	0.358	0.051	0.066
0.044	0.046	0.033	0	0.024	0.027	0.014	0	0.012	0	0.108	0	0.394	0.056	0
0.031	0.101	0.034	0	0.012	0.021	0.043	0	0.01	0	0.078	0	0.384	0.062	0.06
0.034	0	0.034	0.044	0.032	0.026	0.005	0.068	0.005	0	0.696	0	0.304	0.033	0.06
0.056	0.066	0.036	0.048	0.026	0.066	0.057	0.077	0.033	0	0.102	0	0.502	0.073	0.06
0.038	0.102	0.037	0.044	0.025	0.027	0.049	0.495	0.018	0.122	0.216	0	0.496	0.051	0.116
0.034	0	0.035	0.051	0.029	0.044	0.011	0	0.012	0	0.454	0	0.392	0.033	0.06
0.042	0.046	0.037	0.044	0.013	0.026	0.01	0	0.169	0	0.12	0	0.334	0.625	0.678
0.042	0.046	0.04	0.05	0.066	0.035	0.01	0.82	0.012	0.067	0.477	0	0.31	0.046	0.06
0.036	0.054	0.038	0.044	0.008	0.045	0.014	0	0.008	0	0.552	0	0.392	0	0.06
0.048	0.046	0.043	0.044	0.03	0.113	0.024	0	0.009	0	0.743	0	0.42	0.038	0
0.037	0.046	0.036	0.044	0.032	0.026	0.005	0	0.011	0	0.072	0	0.318	0.045	0.06
0.04	0.101	0.046	0.044	0.026	0.032	0.005	0	0.006	0	0.403	0	0.35	0.04	0.068
0.031	0.046	0.032	0	0.039	0.02	0.005	0.028	0.009	0	1.24	0	0.246	0.033	0
0.034	0.053	0.036	0.044	0.02	0.014	0.005	0.119	0.006	0.05	1.08	0	0.39	0.049	0.06
0.038	0	0.059	0.044	0.014	0.022	0.005	0.058	0.01	0	0.039	0	0.316	0.033	0.06
0.031	0.046	0.043	0	0.02	0.02	0.005	0	0.005	0	0.167	0	0.466	0.033	0.06
0.031	0	0.036	0.044	0.022	0.018	0.005	0	0.007	0	0.609	0	0.376	0.033	0.105
0.033	0	0.041	0	0.034	0.019	0.014	0	0.008	0	0.044	0	0.314	0.033	0.06
0.031	0.101	0.048	0.044	0.032	0.02	0.005	0	0.006	0	0.76	0	0.336	0.033	0.06
0.038	0	0.034	0.044	0.023	0.026	0.005	0	0.005	0	0.057	0	0.272	0.037	0.06
0.043	0	0.032	0.044	0.008	0.018	0.005	0.039	0.011	0	0.268	0	0.296	0.033	0
0.064	0.046	0.048	0.044	0.053	0.025	0.005	0	0.01	0.05	0.049	0	0.354	0.033	0.06
0.047	0	0.045	0.044	0.031	0.019	0.005	0	0.009	0	0.08	0	0.298	0.037	0.06
0.038	0.046	0.039	0	0.018	0.029	0.005	0.016	0.006	0	0.16	0	0.344	0.033	0.06
0.032	0.046	0.043	0	0.028	0.02	0.005	0.039	0.008	0	0.04	0	0.33	0.04	0.06
0.046	0.046	0.041	0.044	0.021	0.023	0.014	0	0.01	0	0.123	0	0.38	0.06	0.06
0.031	0	0.033	0	0.048	0.025	0.005	0	0.008	0	0.04	0	0.252	0.062	0.06
0.031	0.072	0.05	0.044	0.065	0.022	0.023	0.846	0.011	0.094	0.474	0	0.312	0.056	0.098
0.033	0	0.041	0.044	0.038	0.014	0.005	0	0.007	0	0.443	0	0.238	0.033	0.06
0.053	0	0.032	0.044	0.019	0.02	0.005	0.286	0.007	0.05	0.029	0	0.26	0.04	0.06
0.038	0.046	0.036	0.063	0.03	0.029	0.005	0	0.012	0	0.029	0	0.368	0.044	0.06
0.04	0.063	0.033	0.044	0.042	0.04	0.014	0	0.008	0	0.329	0	0.288	0.033	0.06
0.043	0	0.035	0.044	0.032	0.023	0.023	0.159	0.007	0.099	0.352	0	0.34	0.033	0.06
0.038	0	0.059	0.044	0.018	0.022	0.005	0	0.009	0	0.163	0	0.324	0.037	0.06
0.034	0.046	0.047	0	0.03	0.018	0.014	0	0.007	0.05	1.09	0	0.432	0.037	0
0.047	0.046	0.056	0.054	0.025	0.017	0.005	0	0.011	0	0.07	0	0.346	0.039	0.103
0.048	0	0.032	0.044	0.033	0.076	0.005	0.039	0.011	0	0.457	0	0.32	0.046	0.06
0.042	0.075	0.034	0.062	0.029	0.046	0.038	0	0.022	0	0.451	0	0.424	0.042	0.124
0.038	0.046	0.039	0.096	0.03	0.094	0.037	0	0.035	0	0.145	0	0.428	0.046	0.067
0.031	0.087	0.039	0.044	0.012	0.097	0.019	0	0.012	0	0.186	0	0.366	0.037	0.06
0.034	0.063	0.04	0.059	0.029	0.031	0.054	0	0.012	0	0.319	0	0.474	0.037	0
0.042	0.046	0.036	0.044	0.022	0.044	0.043	0	0.014	0	0.126	0	0.48	0.058	0.06
0.041	0	0.032	0	0.029	0.023	0.005	0	0.006	0	0.282	0	0.316	0.033	0.06
0.048	0.046	0.032	0.044	0.031	0.049	0.014	0	0.012	0	0.607	1	0.388	0.033	0
0.031	0.046	0.045	0.044	0.024	0.035	0.012	0	0.01	0	0.184	0	0.352	0.033	0.06
0.031	0.046	0.035	0	0.036	0.018	0.005	0	0.007	0	0.404	0	0.33	0.033	0.077
0.044	0.046	0.039	0	0.038	0.026	0.005	0.038	0.008	0	0.185	0	0.356	0.038	0.06
0.046	0	0.047	0	0.029	0.022	0.005	0	0.008	0	0.45	0	0.386	0.036	0.068
0.044	0.087	0.051	0.044	0.008	0.029	0.005	0	0.007	0	0.192	0	0.364	0.045	0.06
0.031	0.075	0.042	0.044	0.02	0.023	0.005	0	0.008	0	0.085	0	0.332	0.041	0.06
0.031	0.046	0.033	0.044	0.031	0.028	0.005	0	0.009	0	0.172	0	0.364	0.033	0.06
0.046	0.046	0.044	0.059	0.022	0.06	0.024	0	0.01	0.05	0.104	0	0.412	0.033	0.06
0.031	0.046	0.036	0	0.007	0.026	0.01	0	0.009	0	0.413	0	0.366	0	0.06
0.042	0	0.037	0.044	0.026	0.034	0.005	0	0.009	0	0.059	0	0.342	0.04	0.06
0.036	0.046	0.05	0.044	0.029	0.041	0.015	0	0.01	0	0.104	0	0.362	0.048	0.077
0.033	0.054	0.035	0.044	0.012	0.032	0.005	0	0.011	0	0.072	0	0.394	0.033	0.06
0.055	0.046	0.041	0.088	0.043	0.035	0.052	0	0.018	0	0.237	0	0.43	0.065	0.077
0.031	0.053	0.034	0.044	0.02	0.096	0.028	0.016	0.01	0.05	0.093	0	0.514	0.044	0.082
0.031	0.065	0.042	0.083	0.079	0.02	0.041	0	0.106	0.067	0.047	0	0.366	0.075	0.06
0.031	0.046	0.032	0.044	0.033	0.055	0.005	0.016	0.009	0	0.183	0	0.322	0.05	0.06
0.073	0.073	0.039	0.07	0.023	0.099	0.028	0	0.03	0	0.153	0	0.43	0.043	0.06
0.033	0.073	0.035	0.044	0.015	0.111	0.024	0.016	0.02	0	0.313	0	0.41	0.048	0.068
0.034	0.046	0.042	0.044	0.033	0.035	0.028	0	0.015	0	0.127	0	0.438	0.044	0.06
0.035	0.046	0.045	0.044	0.014	0.057	0.046	0	0.013	0	0.113	0	0.468	0.033	0.06
0.195	0.079	0.035	0.072	0.068	0.038	0.1	1.64	0.013	0.098	0.87	0	0.408	0.055	0.06
